crn, date, julian,p_deep_mean, p_shallow_mean
205,101108,7315,0.009,0.017
206,120108,7366,0.009,0.014
208,12109,7417,0.005,0.006
209,21809,7445,0.007,0.009
210,42909,7515,0.008,0.017
211,52809,7544,0.008,0.009
212,70409,7581,0.010,0.012
213,72509,7602,0.021,0.014
214,81909,7627,0.013,0.005
216,110409,7704,0.008,0.008
217,121009,7740,0.002,0.007
219,31010,7830,0.007,0.010
220,40710,7858,0.007,0.010
221,51910,7900,0.006,0.013
222,60910,7921,0.008,0.012
223,70910,7951,0.008,0.011
224,80810,7981,0.010,0.009
225,90410,8008,0.007,0.006
226,100410,8038,0.004,0.010
227,112110,8086,0.002,0.003
229,12911,8155,0.010,0.009
230,30111,8186,0.004,0.005
231,41211,8228,0.007,0.009
232,51011,8256,0.007,0.009
233,72011,8327,0.010,0.009
234,83011,8368,0.012,0.022
235,92711,8396,0.014,0.013
236,110511,8435,0.009,0.018
237,112911,8459,0.016,0.018
238,122011,8480,0.015,0.016
239,11912,8510,0.013,0.016
240,32512,8576,0.013,0.015
242,53112,8643,0.017,0.015
243,62712,8670,0.014,0.014
244,80112,8705,0.017,0.008
245,81812,8722,0.013,0.015
246,91512,8750,0.013,0.017
247,100812,8773,0.013,0.017
248,120412,8830,0.013,0.015
249,21313,8901,0.013,0.016
250,30713,8923,0.011,0.016
251,40613,8953,0.013,0.015
252,51813,8995,0.014,0.015
253,62613,9034,0.016,0.016
254,91213,9112,0.012,0.012
255,100213,9132,0.012,0.020
256,102813,9158,0.011,0.017
257,112713,9188,0.009,0.016
258,122113,9212,0.013,0.012
259,11614,9238,0.009,0.013
260,21514,9268,0.012,0.013
261,30614,9287,0.013,0.016
263,60114,9374,0.014,0.018
264,70114,9404,0.013,0.019
265,91514,9480,0.018,0.021
266,101414,9509,0.017,0.017
267,112214,9548,0.014,0.014
268,121714,9573,0.015,0.018
269,22515,9643,0.016,0.014
270,32915,9675,0.013,0.015
271,42215,9699,0.010,0.015
272,52415,9731,0.015,0.012
273,62015,9758,0.010,0.011
274,72015,9788,0.010,0.011
275,81315,9812,0.012,0.016
277,101415,9874,0.014,0.017
278,111415,9905,0.017,0.010
279,120915,9930,0.015,0.013
280,11316,9965,0.014,0.012
281,21016,9993,0.013,0.014
282,30916,10021,0.012,0.013
283,41516,10058,0.010,0.012
284,52916,10102,0.013,0.010
286,81016,10175,0.015,0.016
287,101616,10242,0.018,0.019
288,112716,10284,0.014,0.016
289,12417,10342,0.010,0.015
290,22317,10372,0.013,0.017
291,32917,10406,0.013,0.012
292,42617,10434,0.018,0.015
293,52417,10462,0.012,0.019
294,62117,10490,0.016,0.021
295,80917,10539,0.013,0.009
296,100717,10598,0.014,0.013
297,110917,10631,0.015,0.010
298,121317,10665,0.012,0.011
299,11818,10701,0.011,0.011
300,22618,10740,0.016,0.017
301,41818,10791,0.019,0.016
302,51618,10819,0.013,0.016
303,62718,10861,0.014,0.012
304,72518,10889,0.011,0.016
305,91118,10937,0.014,0.017
307,111718,11004,0.016,0.013
309,11619,11064,0.014,0.016
310,22019,11099,0.015,0.015
311,50319,11171,0.015,0.013
312,61219,11211,0.015,0.019
313,70219,11231,0.017,0.012
314,80319,11263,0.012,0.015
315,90519,11296,0.014,0.014
316,101819,11339,0.014,0.014
317,121919,11401,0.014,0.015
318,10820,11421,0.012,0.016
319,13120,11444,0.016,0.012
321,80820,11634,0.017,0.016
322,90120,11658,0.010,0.017
323,92720,11684,0.015,0.016
324,111920,11737,0.015,0.013
325,121920,11767,0.014,0.016
326,11321,11792,0.013,0.014
327,21721,11827,0.016,0.016
328,32421,11862,0.016,0.015
329,41421,11883,0.017,0.015
330,51721,11916,0.016,0.013
332,71721,11977,0.017,0.016
333,102921,12081,0.015,0.015
334,120521,12118,0.014,0.016
336,52722,12291,0.014,0.018
337,71022,12335,0.016,0.017
338,73122,12356,0.012,0.018
339,90122,12388,0.016,0.022
340,12423,12533,0.015,0.013
341,32923,12597,0.014,0.017
342,52723,12656,0.013,0.017
343,81123,12732,0.016,0.019
344,91723,12769,0.021,0.030
345,100923,12791,0.015,0.019
347,112923,12842,0.012,0.018
348,122823,12871,0.016,0.016
